"Mês","Ano","Ilha","Habitantes","Consumidores","Fuelóleo","Gasóleo","Hídrica","Geotérmica","Eólica","Fotovoltaica","Resíduos","Outras Renováveis","Total"
"3","2022","Santa Maria","5612","4006","0","1326379","0","0","294150","91826","0","0","1712355"
"3","2022","São Miguel","137133","66076","17706513","9164","2534693","15285798","1798380","30575","0","52688","37417811"
"3","2022","Terceira","54874","28317","10755304","11118","175103","1469550","2989982","7860","984231","0","16393148"
"3","2022","Graciosa","4179","3346","0","312679","0","0","750071","75726","0","0","1138476"
"3","2022","São Jorge","8228","6078","0","2107505","0","0","262533","3939","0","0","2373977"
"3","2022","Pico","13635","10141","3397709","0","0","0","535438","385","0","0","3933532"
"3","2022","Faial","14443","8354","3365386","2376","50924","0","590961","615","0","0","4010262"
"3","2022","Flores","3627","2521","0","251036","619268","0","91719","275","0","0","962298"
"3","2022","Corvo","470","284","0","139436","0","0","0","1215","0","0","140651"
"2","2022","Santa Maria","5612","3989","0","1361900","0","0","155737","62631","0","0","1580268"
"2","2022","São Miguel","137133","66003","17307609","7731","2320466","13471776","841215","21560","0","55929","34026286"
"2","2022","Terceira","54874","28268","10266678","50701","302071","1511951","1909696","4738","879189","0","14925024"
"2","2022","Graciosa","4179","3340","0","468147","0","0","500925","70386","0","0","1039458"
"2","2022","São Jorge","8228","6064","0","2005565","0","0","186197","3440","0","0","2195202"
"2","2022","Pico","13635","10128","3251316","392","0","0","360797","375","0","0","3612880"
"2","2022","Faial","14443","8347","3294040","2312","7842","0","299411","395","0","0","3604000"
"2","2022","Flores","3627","2515","0","499533","306945","0","58730","213","0","0","865421"
"2","2022","Corvo","470","285","0","123477","0","0","0","1065","0","0","124542"
"1","2022","Santa Maria","5612","3988","0","1556820","0","0","156065","47386","0","0","1760271"
"1","2022","São Miguel","137133","65998","28826956","6384","2657377","4510788","1421319","22002","0","60386","37505212"
"1","2022","Terceira","54874","28243","11046271","27592","360367","1665390","2774135","3993","841670","0","16719418"
"1","2022","Graciosa","4179","3342","0","504007","0","0","610323","54734","0","0","1169064"
"1","2022","São Jorge","8228","6055","0","2222083","0","0","240491","3066","0","0","2465640"
"1","2022","Pico","13635","10121","3562763","96","0","0","477600","384","0","0","4040843"
"1","2022","Faial","14443","8341","3659660","0","0","0","415062","182","0","0","4074904"
"1","2022","Flores","3627","2519","0","475441","448729","0","45570","188","0","0","969928"
"1","2022","Corvo","470","283","0","141399","0","0","0","970","0","0","142369"
"12","2021","Santa Maria","5612","3997","0","1388014","0","0","363531","50582","0","0","1802127"
"12","2021","São Miguel","137133","66086","29578084","5721","2462917","4177819","1613686","15677","0","54592","37908496"
"12","2021","Terceira","54874","28355","9966831","17168","272056","2045062","3058843","2997","1212901","0","16575858"
"12","2021","Graciosa","4179","3341","0","414526","0","0","711939","42873","0","0","1169338"
"12","2021","São Jorge","8228","6065","0","2107438","0","0","336976","1636","0","0","2446050"
"12","2021","Pico","13635","10124","3531006","504","0","0","541935","244","0","0","4073689"
"12","2021","Faial","14443","8370","3489967","3775","31612","0","609233","45","0","0","4134632"
"12","2021","Flores","3627","2533","0","318884","563397","0","79876","147","0","0","962304"
"12","2021","Corvo","470","286","0","138263","0","0","0","346","0","0","138609"
"11","2021","Santa Maria","5612","3963","0","1288908","0","0","336283","59071","0","0","1684262"
"11","2021","São Miguel","137133","66024","28513740","4322","2308880","3748506","2054822","16267","0","58520","36705057"
"11","2021","Terceira","54874","28323","9855512","12697","412836","2111024","3305484","2762","294606","0","15994921"
"11","2021","Graciosa","4179","3327","0","312256","0","0","756364","40732","0","0","1109352"
"11","2021","São Jorge","8228","6061","0","1984810","0","0","366284","2169","0","0","2353263"
"11","2021","Pico","13635","10122","3312050","1168","0","0","603749","244","0","0","3917211"
"11","2021","Faial","14443","8369","3175449","5922","9765","0","711028","142","0","0","3902306"
"11","2021","Flores","3627","2525","0","250456","657995","0","50219","212","0","0","958882"
